genus,mean_abs_shap,mean_shap
g__Erysipelatoclostridium,0.025107641790402122,0.000442478035650992
g__Bacteroides,0.023507659950670952,0.0012842291635386945
g__[Clostridium]_innocuum_group,0.018668011774312546,0.0009729167186483614
g__Streptococcus,0.015170682907179784,-0.00026775716664218234
g__Parabacteroides,0.012196308398826265,0.0010642429957623658
g__Lachnospira,0.011982749992304104,-0.0009917514136151841
g__Clostridium_sensu_stricto_1,0.010131333311466534,0.00024332597011102736
f__Lachnospiraceae,0.009175214394181445,0.0007340883101982304
g__Lachnospiraceae_NK4A136_group,0.009026749186693793,-0.00044849079765229633
g__Escherichia-Shigella,0.008917124261522686,0.0006398997107506847
g__Veillonella,0.008909192655553245,0.0005882773442300528
g__Agathobacter,0.008903328444494754,0.0008341557017047313
f__Pasteurellaceae,0.007728530573880507,-0.00026368779553636706
g__Enterococcus,0.007644445443654938,0.0008129284688541222
f__Ruminococcaceae,0.007445303705101387,0.00047792199023069006
g__UCG-003,0.007163106643477368,0.0009284467749158726
g__Flavonifractor,0.007079473170634382,0.00032535937810058844
g__Akkermansia,0.0066145731684471186,0.00031803629358319037
g__Roseburia,0.006329664299229877,0.0004331578859101626
f__Sphingomonadaceae,0.006134138308714674,-0.00011011640290144379
